"url","title","artist","style","date"
"http://uploads0.wikiart.org/images/johannes-itten/horizontal-vertical-1915.jpg","Horizontal Vertical","Johannes Itten","abstract-art",1915
"http://uploads4.wikiart.org/images/hilma-af-klint/the-dove-nr-12-1915.jpg","The Dove, Nr. 12","Hilma af Klint","abstract-art",1915
"http://uploads1.wikiart.org/images/marsden-hartley/e-1915.jpg","E","Marsden Hartley","abstract-art",1915
"http://uploads6.wikiart.org/images/marsden-hartley/himmel-1915.jpg","Himmel","Marsden Hartley","abstract-art",1915
"http://uploads1.wikiart.org/images/marsden-hartley/lighthouse-1915.jpg","Lighthouse","Marsden Hartley","abstract-art",1915
"http://uploads7.wikiart.org/images/edward-wadsworth/the-open-window-1915.jpg","The Open Window","Edward Wadsworth","abstract-art",1915
"http://uploads0.wikiart.org/images/edward-wadsworth/the-port-1915.jpg","The Port","Edward Wadsworth","abstract-art",1915
"http://uploads6.wikiart.org/00140/images/hilma-af-klint/hilma-af-klint-svanen.jpg","The Swan (No. 17)","Hilma af Klint","abstract-art",1915
"http://uploads6.wikiart.org/images/wassily-kandinsky/drawing-for-etching-ii-1916.jpg","Drawing for Etching II","Wassily Kandinsky","abstract-art",1916
"http://uploads3.wikiart.org/images/georgia-o-keeffe/sunrise.jpg","Sunrise","Georgia O'Keeffe","abstract-art",1916
"http://uploads8.wikiart.org/images/theo-van-doesburg/composition-i-still-life-1916.jpg","Composition I (Still life)","Theo van Doesburg","abstract-art",1916
"http://uploads0.wikiart.org/images/theo-van-doesburg/composition-ii-still-life-1916.jpg","Composition II (Still life)","Theo van Doesburg","abstract-art",1916
"http://uploads0.wikiart.org/images/theo-van-doesburg/composition-iv-still-life-1916.jpg","Composition IV (Still life)","Theo van Doesburg","abstract-art",1916
"http://uploads8.wikiart.org/images/theo-van-doesburg/still-life-composition-v-1916.jpg","Still Life (Composition V)","Theo van Doesburg","abstract-art",1916
"http://uploads7.wikiart.org/images/lyubov-popova/still-life-with-instruments-1916.jpg","Still Life with Instruments","Lyubov Popova","abstract-art",1916
"http://uploads2.wikiart.org/images/vladimir-tatlin/board-number-1-staro-basmannaya-street-1916.jpg","Board Number 1 (Staro-Basmannaya Street)","Vladimir Tatlin","abstract-art",1916
"http://uploads5.wikiart.org/images/constantin-brancusi/sculpture-for-the-blind-beginning-of-the-world-1916.jpg","Sculpture for the Blind (Beginning of the World)","Constantin Brancusi","abstract-art",1916
